cs_code;cs_bp_code;cs_num;cs_type;cs_face;cs_rf_code
CS001800309764;BP000180030976;4;E;A;RF000000000014
CS001800306762;BP000180030676;2;E;A;RF000000000014
CS001800307142;BP000180030714;2;E;A;RF000000000014
CS001800309762;BP000180030976;2;E;A;RF000000000014
CS001800309763;BP000180030976;3;E;A;RF000000000014
CS001800307141;BP000180030714;1;E;A;RF000000000014
CS001800307051;BP000180030705;1;E;A;RF000000000014
CS001800307052;BP000180030705;2;E;A;RF000000000014
CS001800306761;BP000180030676;1;E;A;RF000000000014
CS001800309761;BP000180030976;1;E;A;RF000000000014
CS001800306751;BP000180030675;1;E;A;RF000000000014
CS001800300911;BP000180030091;1;E;A;RF000000000014
CS001800307143;BP000180030714;3;E;A;RF000000000014
CS001800307144;;1;C;A;RF000000000014
CS001800307145;;2;C;A;RF000000000014
CS001800307146;;3;C;A;RF000000000014
CS001800307147;;4;C;A;RF000000000014
CS001800307148;;1;C;A;RF000000000014
CS001800307149;;2;C;A;RF000000000014
CS001800307150;;3;C;A;RF000000000014
CS001800307151;;4;C;A;RF000000000014
