lc_code;lc_bp_codf;lc_bp_codp;lc_codeext;lc_abandon;lc_prop;lc_gest;lc_statut;lc_avct;lc_dateins;lc_elec;lc_bat;lc_escal;lc_etage;lc_perirec;lc_etiquet;lc_st_code;lc_typelog;lc_proptyp
LC001000000022;;;OPE_PM7;0;OR900000000002;OR900000000002;REC;E;08/05/2019;0;;;;PM7-CST-01;PM7;ST001000000000;SRO;
LC001000000021;;;OPE_NRO1;0;OR900000000002;OR900000000002;REC;E;07/05/2019;0;;;;PM7-CST-01;NRO1;ST001000000001;NRO;
LC001000000000;BP000180030676;;;0;IN0000000001;;;;;;;;;PM7-CST-02;;ST001000000003;RES;
LC001000000001;BP000180030676;;;0;IN0000000002;;;;;;;;;PM7-CST-02;;ST001000000004;RES;
LC001000000002;BP000180030676;;;0;IN0000000002;;;;;;;1;1;PM7-CST-02;;ST001000000005;RES;
LC001000000014;BP000180030676;;;0;IN0000000017;;;;;;;1;2;PM7-CST-02;;ST001000000005;RES;
LC001000000018;BP000180030676;;;0;IN0000000018;;;;;;;1;3;PM7-CST-02;;ST001000000005;RES;
LC001000000003;BP000180030705;;;0;IN0000000003;;;;;;;;;PM7-CST-01;;ST001000000006;RES;
LC001000000004;BP000180030676;;;0;IN0000000004;;;;;;;1;1;PM7-CST-02;;ST001000000007;RES;
LC001000000015;BP000180030676;;;0;IN0000000019;;;;;;;1;2;PM7-CST-02;;ST001000000007;RES;
LC001000000005;BP000180030676;;;0;IN0000000005;;;;;;;;;PM7-CST-02;;ST001000000008;RES;
LC001000000006;BP000180030675;;;0;IN0000000006;;;;;;;;;PM7-CST-02;;ST001000000009;PRO;
LC001000000016;BP000180030675;;;0;IN0000000006;;;;;;;;;PM7-CST-02;;ST001000000009;RES;
LC001000000007;BP000180030705;;;0;IN0000000002;;;;;;;;;PM7-CST-01;;ST001000000010;RES;
LC001000000008;BP000180030705;;;0;IN0000000007;;;;;;;;;PM7-CST-01;;ST001000000011;RES;
LC001000000009;BP000180030705;;;0;IN0000000008;;;;;;;;;PM7-CST-01;;ST001000000012;RES;
LC001000000010;BP000180030705;;;0;IN0000000009;;;;;;;;;PM7-CST-01;;ST001000000013;PRO;
LC001000000011;BP000180030675;;;0;IN0000000010;;;;;;;1;1;PM7-CST-02;;ST001000000014;RES;
LC001000000017;BP000180030675;;;0;IN0000000010;;;;;;;1;1;PM7-CST-02;;ST001000000014;RES;
LC001000000019;;BP000180030675;;0;IN0000000010;;;;;;;1;2;PM7-CST-02;;ST001000000014;ENT;
LC001000000020;BP000180030675;;;0;IN0000000010;;;;;;;1;2;PM7-CST-02;;ST001000000014;RES;
LC001000000012;BP000180030705;;;0;IN0000000011;;;;;;;;;PM7-CST-01;;ST001000000016;RES;
LC001000000013;BP000180030705;;;0;IN0000000012;;;;;;;;;PM7-CST-01;;ST001000000017;RES;
LC001000000014;BP000180030676;;;0;IN0000000017;;;;;;;1;2;PM7-CST-02;;ST001000000005;RES;
