rf_code;rf_type;rf_design
RF000000000001;BP;bp-48
RF000000000002;CA;Cable-FO-96
RF000000000003;CA;Cable-FO-2
RF000000000004;CA;Cable-FO-4
RF000000000005;CA;Cable-FO-6
RF000000000006;CA;Cable-FO-12
RF000000000007;CA;Cable-FO-24
RF000000000008;CA;Cable-FO-36
RF000000000009;CA;Cable-FO-48
RF000000000010;CA;Cable-FO-576
RF000000000011;BA;Baie-42u
RF000000000012;BA;Baie-28u
RF000000000013;BP;bp-576
RF000000000014;CS;Cassette-xxx
RF000000000015;TI;Tiroir-2
RF000000000016;TI;Tiroir-3
RF000000000017;TI;Tete-3
RF000000000018;EQ;PBO-12
RF000000000019;EQ;PBO-24
RF000000000020;EQ;PTO
RF000000000021;CA;Jarretiere 1Fo
RF000000000022;CA;Jarretiere 2Fo
