st_code;st_perirec;st_nd_code;st_codeext;st_abandon;st_nra;st_prop;st_gest;st_proptyp;st_statut;st_dateins;st_avct;st_typephy;st_typelog;st_ad_code;st_postal;st_insee;st_commune;st_hexacle;st_nomvoie;st_numero;st_rep;st_nombat
ST001000000000;PM7-CST-01;ND200180030502;OPE_ADR02;0;0;OR900000000002;OR900000000002;CST;REC;04/05/2019;E;ADR;RESEAU;;;;;;RUE DU 4 SEPTEMBRE;0;;
ST001000000001;PM7-CST-01;ND000180030001;OPE_SHE01;0;0;OR900000000002;OR900000000002;CST;REC;04/05/2019;E;SHE;RESEAU;;;;;;RUE DE LA LIBERTE;0;;
ST001000000003;PM7-CST-02;ND000180031091;;0;0;OR900000000002;OR900000000002;;;;;BAT;CLIENT;AD000180031091;18220;18003;LES AIX D ANGILLON;;;0;;
ST001000000004;PM7-CST-02;ND000180031092;;0;0;OR900000000002;OR900000000002;;;;;BAT;CLIENT;AD000180031092;18220;18003;LES AIX D ANGILLON;;;0;;
ST001000000005;PM7-CST-02;ND000180031093;;0;0;OR900000000002;OR900000000002;;;;;BAT;CLIENT;AD000180031093;18220;18003;LES AIX D ANGILLON;;;0;;
ST001000000006;PM7-CST-01;ND000180031094;;0;0;OR900000000002;OR900000000002;;;;;BAT;CLIENT;AD000180031094;18220;18003;LES AIX D ANGILLON;;;0;;
ST001000000007;PM7-CST-02;ND000180031100;;0;0;OR900000000002;OR900000000002;;;;;BAT;CLIENT;AD000180031100;18220;18003;LES AIX D ANGILLON;;;0;;
ST001000000008;PM7-CST-02;ND000180031101;;0;0;OR900000000002;OR900000000002;;;;;BAT;CLIENT;AD000180031101;18220;18003;LES AIX D ANGILLON;;;0;;
ST001000000009;PM7-CST-02;ND000180031227;;0;0;OR900000000002;OR900000000002;;;;;BAT;CLIENT;AD000180031227;18220;18003;LES AIX D ANGILLON;;;0;;
ST001000000010;PM7-CST-01;ND000180031284;;0;0;OR900000000002;OR900000000002;;;;;BAT;CLIENT;AD000180031284;18220;18003;LES AIX D ANGILLON;;;0;;
ST001000000011;PM7-CST-01;ND000180031287;;0;0;OR900000000002;OR900000000002;;;;;BAT;CLIENT;AD000180031287;18220;18003;LES AIX D ANGILLON;;;0;;
ST001000000012;PM7-CST-01;ND000180031292;;0;0;OR900000000002;OR900000000002;;;;;BAT;CLIENT;AD000180031292;18220;18003;LES AIX D ANGILLON;;;0;;
ST001000000013;PM7-CST-01;ND000180031301;;0;0;OR900000000002;OR900000000002;;;;;BAT;CLIENT;AD000180031301;18220;18003;LES AIX D ANGILLON;;;0;;
ST001000000014;PM7-CST-02;ND000180031330;;0;0;OR900000000002;OR900000000002;;;;;BAT;CLIENT;AD000180031330;18220;18003;LES AIX D ANGILLON;;;0;;
ST001000000016;PM7-CST-01;ND000180031413;;0;0;OR900000000002;OR900000000002;;;;;BAT;CLIENT;AD000180031413;18220;18003;LES AIX D ANGILLON;;;0;;
ST001000000017;PM7-CST-01;ND000180031414;;0;0;OR900000000002;OR900000000002;;;;;BAT;CLIENT;AD000180031414;18220;18003;LES AIX D ANGILLON;;;0;;
