id_test,classe,attribut,cle_primaire,classe_cible,attribut_cible,actif
ctrl_fk_0001,t_baie,ba_lc_code,ba_code,t_local,lc_code,true
ctrl_fk_0002,t_baie,ba_rf_code,ba_code,t_reference,rf_code,true
ctrl_fk_0003,t_cab_chem,cc_cb_code,cc_cb_code,t_cable,cb_code,true
ctrl_fk_0004,t_cab_chem,cc_cm_code,cc_cb_code,t_cheminement,cm_code,true
ctrl_fk_0005,t_cable,cb_rf_code,cb_code,t_reference,rf_code,true
ctrl_fk_0006,t_cableline,cl_cb_code,cl_code,t_cable,cb_code,true
ctrl_fk_0007,t_cassette,cs_bp_code,cs_code,t_ebp,bp_code,true
ctrl_fk_0008,t_cassette,cs_rf_code,cs_code,t_reference,rf_code,true
ctrl_fk_0009,t_cheminement,cm_ndcode1,cm_code,t_noeud,nd_code,true
ctrl_fk_0010,t_cheminement,cm_ndcode2,cm_code,t_noeud,nd_code,true
ctrl_fk_0011,t_ebp,bp_lc_code,bp_code,t_local,lc_code,true
ctrl_fk_0012,t_ebp,bp_pt_code,bp_code,t_ptech,pt_code,true
ctrl_fk_0013,t_fibre,fo_cb_code,fo_code,t_cable,cb_code,true
ctrl_fk_0014,t_local,lc_bp_codf,lc_code,t_ebp,bp_code,true
ctrl_fk_0015,t_local,lc_bp_codp,lc_code,t_ebp,bp_code,true
ctrl_fk_0016,t_local,lc_st_code,lc_code,t_site,st_code,true
ctrl_fk_0017,t_love,lv_cb_code,lv_id,t_cable,cb_code,true
ctrl_fk_0018,t_love,lv_nd_code,lv_id,t_noeud,nd_code,true
ctrl_fk_0019,t_position,ps_1,ps_code,t_fibre,fo_code,true
ctrl_fk_0020,t_position,ps_2,ps_code,t_fibre,fo_code,true
ctrl_fk_0021,t_position,ps_cs_code,ps_code,t_cassette,cs_code,true
ctrl_fk_0022,t_position,ps_ti_code,ps_code,t_tiroir,ti_code,true
ctrl_fk_0023,t_ptech,pt_nd_code,pt_code,t_noeud,nd_code,true
ctrl_fk_0024,t_site,st_ad_code,st_code,t_adresse,ad_code,true
ctrl_fk_0025,t_site,st_nd_code,st_code,t_noeud,nd_code,true
ctrl_fk_0026,t_tiroir,ti_ba_code,ti_code,t_baie,ba_code,true
ctrl_fk_0027,t_tiroir,ti_rf_code,ti_code,t_reference,rf_code,true
ctrl_fk_0028,t_tranchee,tr_couptyp,tr_code,t_reference,rf_code,true
ctrl_fk_0029,t_tranchee,tr_pa1,tr_code,t_pointaccueil,pa_code,true
ctrl_fk_0030,t_tranchee,tr_pa2,tr_code,t_pointaccueil,pa_code,true
ctrl_fk_0031,t_zdep,zd_nd_code,zd_code,t_noeud,nd_code,true
ctrl_fk_0032,t_zdep,zd_zs_code,zd_code,t_zsro,zs_code,true
ctrl_fk_0033,t_znro,zn_lc_code,zn_code,t_local,lc_code,true
ctrl_fk_0034,t_znro,zn_nd_code,zn_code,t_noeud,nd_code,true
ctrl_fk_0035,t_zsro,zs_lc_code,zs_code,t_local,lc_code,true
ctrl_fk_0036,t_zsro,zs_zn_code,zs_code,t_znro,zn_code,true
