id_test,classe,attribut,cle_primaire,table_liste,actif
ctrl_lv_0001,t_adresse,ad_dta,ad_code,l_bool,true
ctrl_lv_0002,t_adresse,ad_iaccgst,ad_code,l_bool,true
ctrl_lv_0003,t_adresse,ad_ietat,ad_code,l_adresse_etat,true
ctrl_lv_0004,t_adresse,ad_imneuf,ad_code,l_bool,true
ctrl_lv_0005,t_adresse,ad_isole,ad_code,l_bool,true
ctrl_lv_0006,t_adresse,ad_prio,ad_code,l_bool,true
ctrl_lv_0007,t_adresse,ad_racc,ad_code,l_implantation,true
ctrl_lv_0008,t_adresse,ad_raclong,ad_code,l_bool,true
ctrl_lv_0009,t_baie,ba_abandon,ba_code,l_bool,true
ctrl_lv_0010,t_baie,ba_proptyp,ba_code,l_propriete,true
ctrl_lv_0011,t_baie,ba_statut,ba_code,l_statut,true
ctrl_lv_0012,t_baie,ba_type,ba_code,l_baie_type,true
ctrl_lv_0013,t_cable,cb_abandon,cb_code,l_bool,true
ctrl_lv_0014,t_cable,cb_avct,cb_code,l_avancement,true
ctrl_lv_0015,t_cable,cb_fo_type,cb_code,l_fo_type,true
ctrl_lv_0016,t_cable,cb_proptyp,cb_code,l_propriete,true
ctrl_lv_0017,t_cable,cb_statut,cb_code,l_statut,true
ctrl_lv_0018,t_cable,cb_typelog,cb_code,l_cable_chem_type_log,true
ctrl_lv_0019,t_cable,cb_typephy,cb_code,l_cable_type,true
ctrl_lv_0020,t_cassette,cs_type,cs_code,l_cassette_type,true
ctrl_lv_0021,t_cheminement,cm_avct,cm_code,l_avancement,true
ctrl_lv_0022,t_cheminement,cm_statut,cm_code,l_statut,true
ctrl_lv_0023,t_cheminement,cm_typ_imp,cm_code,l_implantation,true
ctrl_lv_0024,t_cheminement,cm_typelog,cm_code,l_cable_chem_type_log,true
ctrl_lv_0025,t_ebp,bp_abandon,bp_code,l_bool,true
ctrl_lv_0026,t_ebp,bp_avct,bp_code,l_avancement,true
ctrl_lv_0027,t_ebp,bp_proptyp,bp_code,l_propriete,true
ctrl_lv_0028,t_ebp,bp_statut,bp_code,l_statut,true
ctrl_lv_0029,t_ebp,bp_typelog,bp_code,l_bp_type_log,true
ctrl_lv_0030,t_ebp,bp_typephy,bp_code,l_bp_type_phy,true
ctrl_lv_0031,t_fibre,fo_etat,fo_code,l_etat,true
ctrl_lv_0032,t_local,lc_abandon,lc_code,l_bool,true
ctrl_lv_0033,t_local,lc_avct,lc_code,l_avancement,true
ctrl_lv_0034,t_local,lc_elec,lc_code,l_bool,true
ctrl_lv_0035,t_local,lc_proptyp,lc_code,l_propriete,true
ctrl_lv_0036,t_local,lc_statut,lc_code,l_statut,true
ctrl_lv_0037,t_local,lc_typelog,lc_code,l_local_type_log,true
ctrl_lv_0038,t_pointaccueil,pa_dtclass,pa_code,l_geoloc_classe,true
ctrl_lv_0039,t_pointaccueil,pa_nature,pa_code,l_pointaccueil_nature,true
ctrl_lv_0040,t_pointaccueil,pa_secu,pa_code,l_bool,true
ctrl_lv_0041,t_pointaccueil,pa_typephy,pa_code,l_pointaccueil_type_phy,true
ctrl_lv_0042,t_position,ps_fonct,ps_code,l_position_fonction,true
ctrl_lv_0043,t_position,ps_type,ps_code,l_position_type,true
ctrl_lv_0044,t_ptech,pt_abandon,pt_code,l_bool,true
ctrl_lv_0045,t_ptech,pt_avct,pt_code,l_avancement,true
ctrl_lv_0046,t_ptech,pt_nature,pt_code,l_ptech_nature,true
ctrl_lv_0047,t_ptech,pt_secu,pt_code,l_bool,true
ctrl_lv_0048,t_ptech,pt_statut,pt_code,l_statut,true
ctrl_lv_0049,t_ptech,pt_typephy,pt_code,l_ptech_type_phy,true
ctrl_lv_0050,t_reference,rf_type,rf_code,l_reference_type,true
ctrl_lv_0051,t_site,st_abandon,st_code,l_bool,true
ctrl_lv_0052,t_site,st_avct,st_code,l_avancement,true
ctrl_lv_0053,t_site,st_nra,st_code,l_bool,true
ctrl_lv_0054,t_site,st_proptyp,st_code,l_propriete,true
ctrl_lv_0055,t_site,st_statut,st_code,l_statut,true
ctrl_lv_0056,t_site,st_typelog,st_code,l_site_type_log,true
ctrl_lv_0057,t_site,st_typephy,st_code,l_site_type_phy,true
ctrl_lv_0058,t_tiroir,ti_abandon,ti_code,l_bool,true
ctrl_lv_0059,t_tiroir,ti_type,ti_code,l_tiroir_type,true
ctrl_lv_0060,t_tranchee,tr_dtclass,tr_code,l_geoloc_classe,true
ctrl_lv_0061,t_zdep,zd_statut,zd_code,l_statut,true
ctrl_lv_0062,t_znro,zn_etat,zn_code,l_nro_etat,true
ctrl_lv_0063,t_zsro,zs_actif,zs_code,l_bool,true
ctrl_lv_0064,t_zsro,zs_etatpm,zs_code,l_sro_etat,true
