id_test,classe,cle_primaire,conteneur_c1,conteneur_c2,conteneur_c3,conteneur_c4,actif
ctrl_pt_0001,t_adresse,ad_code,O,O,O,O,true
ctrl_pt_0002,t_baie,ba_code,N,O,O,O,true
ctrl_pt_0003,t_cab_chem,cc_code,N,O,O,O,true
ctrl_pt_0004,t_cable,cb_code,N,O,O,O,true
ctrl_pt_0005,t_cableline,cl_code,N,O,O,O,true
ctrl_pt_0006,t_cassette,cs_code,N,N,O,O,true
ctrl_pt_0007,t_cheminement,cm_code,N,O,O,O,true
ctrl_pt_0008,t_ebp,bp_code,N,O,O,O,true
ctrl_pt_0009,t_fibre,fo_code,N,N,O,O,true
ctrl_pt_0010,t_local,lc_code,O,O,O,O,true
ctrl_pt_0011,t_love,lv_id,N,C,C,C,true
ctrl_pt_0012,t_noeud,nd_code,O,O,O,O,true
ctrl_pt_0013,t_organisme,or_code,O,O,O,O,true
ctrl_pt_0014,t_point_leve,pl_code,N,N,C,C,true
ctrl_pt_0015,t_pointaccueil,pa_code,N,C,O,O,true
ctrl_pt_0016,t_position,ps_code,N,N,O,O,true
ctrl_pt_0017,t_ptech,pt_code,N,O,O,O,true
ctrl_pt_0018,t_reference,rf_code,N,O,O,O,true
ctrl_pt_0019,t_site,st_code,O,O,O,O,true
ctrl_pt_0020,t_tiroir,ti_code,N,N,O,O,true
ctrl_pt_0021,t_tranchee,tr_code,N,C,O,O,true
ctrl_pt_0022,t_zdep,zd_code,C,C,C,N,true
ctrl_pt_0023,t_znro,zn_code,O,O,O,O,true
ctrl_pt_0024,t_zsro,zs_code,O,O,O,O,true
