id_test,classe,attribut,cle_primaire,conteneur_c1,conteneur_c2,conteneur_c3,conteneur_c4,actif,commentaire
ctrl_rem_0001,t_adresse,ad_batcode,ad_code,C,C,C,O,true,remplissage conditionnel | O->true
ctrl_rem_0002,t_adresse,ad_code,ad_code,O,O,O,O,true,
ctrl_rem_0003,t_adresse,ad_codtemp,ad_code,C,C,C,N,false,remplissage conditionnel
ctrl_rem_0004,t_adresse,ad_commune,ad_code,O,O,O,O,true,
ctrl_rem_0005,t_adresse,ad_datmodi,ad_code,O,O,O,N,true,
ctrl_rem_0006,t_adresse,ad_distinf,ad_code,N,C,C,C,false,remplissage conditionnel
ctrl_rem_0007,t_adresse,ad_dta,ad_code,N,N,C,C,false,remplissage conditionnel
ctrl_rem_0008,t_adresse,ad_gest,ad_code,N,N,C,N,false,remplissage conditionnel
ctrl_rem_0009,t_adresse,ad_hexacle,ad_code,C,C,C,C,false,remplissage conditionnel
ctrl_rem_0010,t_adresse,ad_iaccgst,ad_code,N,N,O,N,true,
ctrl_rem_0011,t_adresse,ad_idatsgn,ad_code,N,N,C,N,false,remplissage conditionnel
ctrl_rem_0012,t_adresse,ad_ietat,ad_code,O,O,O,N,true,
ctrl_rem_0013,t_adresse,ad_imneuf,ad_code,O,O,O,N,true,
ctrl_rem_0014,t_adresse,ad_insee,ad_code,O,O,O,O,true,
ctrl_rem_0015,t_adresse,ad_isole,ad_code,N,O,O,O,true,
ctrl_rem_0016,t_adresse,ad_nbfofon,ad_code,C,C,C,N,false,remplissage conditionnel
ctrl_rem_0017,t_adresse,ad_nbfogfu,ad_code,C,C,C,N,false,remplissage conditionnel
ctrl_rem_0018,t_adresse,ad_nbfotte,ad_code,C,C,C,N,false,remplissage conditionnel
ctrl_rem_0019,t_adresse,ad_nbfotth,ad_code,O,O,O,N,true,
ctrl_rem_0020,t_adresse,ad_nbfotto,ad_code,C,C,C,N,false,remplissage conditionnel
ctrl_rem_0021,t_adresse,ad_nblent,ad_code,C,C,C,C,false,remplissage conditionnel
ctrl_rem_0022,t_adresse,ad_nblobj,ad_code,C,C,C,C,false,remplissage conditionnel
ctrl_rem_0023,t_adresse,ad_nblope,ad_code,C,C,C,C,false,remplissage conditionnel
ctrl_rem_0024,t_adresse,ad_nblpro,ad_code,O,O,O,O,true,
ctrl_rem_0025,t_adresse,ad_nblpub,ad_code,C,C,C,C,false,remplissage conditionnel
ctrl_rem_0026,t_adresse,ad_nblres,ad_code,O,O,O,O,true,
ctrl_rem_0027,t_adresse,ad_nombat,ad_code,C,C,C,C,false,remplissage conditionnel
ctrl_rem_0028,t_adresse,ad_nomvoie,ad_code,O,O,O,O,true,
ctrl_rem_0029,t_adresse,ad_numero,ad_code,O,O,O,O,true,
