id_test,classe,attribut,type_cible,cle_primaire,actif,description
ctrl_type_0001,t_adresse,ad_batcode,varchar,ad_code,true,"Vérification du type de ad_batcode"
ctrl_type_0002,t_adresse,ad_code,varchar,ad_code,true,"Vérification du type de ad_code"
ctrl_type_0003,t_adresse,ad_codtemp,varchar,ad_code,true,"Vérification du type de ad_codtemp"
ctrl_type_0004,t_adresse,ad_commune,varchar,ad_code,true,"Vérification du type de ad_commune"
ctrl_type_0005,t_adresse,ad_datmodi,date,ad_code,true,"Vérification du type de ad_datmodi"
ctrl_type_0006,t_adresse,ad_distinf,numeric,ad_code,true,"Vérification du type de ad_distinf"
ctrl_type_0007,t_adresse,ad_dta,varchar,ad_code,true,"Vérification du type de ad_dta"
ctrl_type_0008,t_adresse,ad_gest,varchar,ad_code,true,"Vérification du type de ad_gest"
ctrl_type_0009,t_adresse,ad_hexacle,varchar,ad_code,true,"Vérification du type de ad_hexacle"
ctrl_type_0010,t_adresse,ad_iaccgst,varchar,ad_code,true,"Vérification du type de ad_iaccgst"
ctrl_type_0011,t_adresse,ad_idatsgn,date,ad_code,true,"Vérification du type de ad_idatsgn"
ctrl_type_0012,t_adresse,ad_ietat,varchar,ad_code,true,"Vérification du type de ad_ietat"
ctrl_type_0013,t_adresse,ad_imneuf,varchar,ad_code,true,"Vérification du type de ad_imneuf"
ctrl_type_0014,t_adresse,ad_insee,varchar,ad_code,true,"Vérification du type de ad_insee"
ctrl_type_0015,t_adresse,ad_isole,varchar,ad_code,true,"Vérification du type de ad_isole"
ctrl_type_0016,t_adresse,ad_nbfofon,integer,ad_code,true,"Vérification du type de ad_nbfofon"
ctrl_type_0017,t_adresse,ad_nbfogfu,integer,ad_code,true,"Vérification du type de ad_nbfogfu"
ctrl_type_0018,t_adresse,ad_nbfotte,integer,ad_code,true,"Vérification du type de ad_nbfotte"
ctrl_type_0019,t_adresse,ad_nbfotth,integer,ad_code,true,"Vérification du type de ad_nbfotth"
ctrl_type_0020,t_adresse,ad_nbfotto,integer,ad_code,true,"Vérification du type de ad_nbfotto"
ctrl_type_0021,t_adresse,ad_nblent,integer,ad_code,true,"Vérification du type de ad_nblent"
ctrl_type_0022,t_adresse,ad_nblobj,integer,ad_code,true,"Vérification du type de ad_nblobj"
ctrl_type_0023,t_adresse,ad_nblope,integer,ad_code,true,"Vérification du type de ad_nblope"
ctrl_type_0024,t_adresse,ad_nblpro,integer,ad_code,true,"Vérification du type de ad_nblpro"
ctrl_type_0025,t_adresse,ad_nblpub,integer,ad_code,true,"Vérification du type de ad_nblpub"
