id_test,classe,attribut,cle_primaire,actif
ctrl_uc_0001,t_cable,cb_codeext,cb_code,true
ctrl_uc_0002,t_cableline,cl_cb_code,cl_code,true
ctrl_uc_0003,t_ebp,bp_codeext,bp_code,true
ctrl_uc_0005,t_local,lc_codeext,lc_code,true
ctrl_uc_0006,t_pointaccueil,pa_codeext,pa_code,true
ctrl_uc_0007,t_pointaccueil,pa_codtemp,pa_code,true
ctrl_uc_0008,t_ptech,pt_codeext,pt_code,true
ctrl_uc_0009,t_ptech,pt_nd_code,pt_code,true
ctrl_uc_0010,t_site,st_nd_code,st_code,true
ctrl_uc_0011,t_site,st_codeext,st_code,true
ctrl_uc_0012,t_tiroir,ti_codeext,ti_code,true
ctrl_uc_0013,t_zcoax,zc_nd_code,zc_code,true
ctrl_uc_0014,t_zdep,zd_nd_code,zd_code,true
ctrl_uc_0016,t_position,ps_1,ps_code,true
ctrl_uc_0017,t_position,ps_2,ps_code,true
