"id","code","libelle","definition"
"1","B006","BPE 6FO",""
"2","B012","BPE 12FO",""
"3","B024","BPE 24FO",""
"4","B036","BPE 36FO",""
"5","B048","BPE 48FO",""
"6","B072","BPE 72FO",""
"7","B096","BPE 96FO",""
"8","B144","BPE 144FO",""
"9","B288","BPE 288FO",""
"10","B432","BPE 432FO",""
"11","B576","BPE 576FO",""
"12","B720","BPE 720FO",""
"13","B864","BPE 864FO",""
"14","COF","COFFRET",""
"15","DTI1","DTIO 1FO",""
"16","DTI2","DTIO 2FO",""
"17","DTI4","DTIO 4FO",""
"18","AUTR","AUTRE",""
