"id","code","libelle","definition"
"1","CX","COLLECTE TRANSPORT DISTRIBUTION",""
"2","CO","COLLECTE","Cable/cheminement en amont d’un NRO, d un NRA ou d un POP, permettant de faire transiter les flux mutualises des abonnes
    Vers le cœur de reseau de l operateur."
"3","CT","COLLECTE TRANSPORT",""
"4","CD","COLLECTE DISTRIBUTION",""
"5","TD","TRANSPORT DISTRIBUTION","Mutualisation des fonctions transport et distribution"
"6","TR","TRANSPORT","Cable/cheminement situee entre un noeud de raccordement (NRO, NRA, …) et les sous-repartiteurs (SRO, ...)."
"7","DI","DISTRIBUTION","Cable/cheminement situee entre le sous-repartiteur (SRO, ...) et les points de branchement (PBO, ...)."
"8","RA","RACCORDEMENT FINAL","Cable/cheminement  situee  entre  le  point de branchement (PBO, ...) et la prise terminale (DTIO, ...)."
"9","BM","BOUCLE METROPOLITAINE",""
"10","LH","LONGUE DISTANCE (LONG HAUL)",""
"11","NC","NON COMMUNIQUE",""
