"id","code","libelle","definition"
"1","CB","CABLE",""
"2","CD","CONDUITE",""
"3","BP","ELEMENT BRANCHEMENT PASSIF",""
"4","MQ","MASQUE",""
"5","ND","NOEUD",""
"6","PT","POINT TECHNIQUE",""
"7","ST","SITE TECHNIQUE",""
"8","SF","SITE UTILISATEUR FINAL",""
"9","LT","LOCAL TECHNIQUE",""
"10","AD","ADRESSE",""
"11","BA","BAIE",""
"12","CS","CASSETTE",""
"13","EQ","EQUIPEMENT",""
"14","TI","TIROIR",""
"15","OR","ORGANISME",""
"16","ZN","ZONE DE NRO",""
"17","ZD","ZONE DE DEPLOIEMENT",""
"18","ZS","ZONE DE SRO",""
"19","RF","REFERENCE",""
"20","RT","ROUTE OPTIQUE",""
"21","CM","CHEMINEMENT",""
"22","FO","FIBRE",""
"23","PS","POSITION",""
"24","SE","SITE EMISSION",""
"25","LV","LOVE",""
"26","ZP","ZONE ARRIERE DE PBO",""
"27","ZC","ZONE COAX",""
