code,libelle,definition
DIG,DOSSIER D INGENIERIE : REGLES D INGENIERIE UTILISEES,Ensemble des regles d ingenierie etablies par la collectivite pour le deploiement du reseau. Voir GraceTHD-MOD.
ETU,RAPPORT D ETUDE,Rapport de l etude. Le rapport pourra contenir notamment l index des documents produits dans le cadre de l etude. Voir GraceTHD-MOD.
PSI,"PLAN DE SITUATION, SYNOPTIQUE GEOGRAPHIQUE","Vue globale du projet, ou d une partie du projet de deploiement. Fond de carte, trace du projet, eventuellement, reperage des plans du projet ou d autres elements selon besoin. Voir GraceTHD-MOD."
PPH,PLAN DE PHASAGE,Phasage prevu des deploiements. Voir GraceTHD-MOD.
PCB,PLAN DE CABLAGE,"Vue d ensemble de l infrastrcuture d accueil et du cablage : fond de carte avec noms et numeros de rues, zone de desserte, cables, points techniques, ebp, … Voir GraceTHD-MOD."
PMQ,PLAN DE MASQUE OU FICHE FOA,"Plan des masques de la chambre, position des alveoles, fourreaux et eventuellement câbles"
DPO,DOSSIER APPUIS AERIENS,"Documents relatifs a l utilisation d un appui aerien : fiche descriptive, etude de charge, documents pour redressement, renforcement ou remplacement d appui. Voir GraceTHD-MOD."
FOT,PHOTO,Voir GraceTHD-MOD.
PGC,PLAN DE GENIE CIVIL,"Detail du genie civil, et plus particulierement : fond de plan topographique, cheminement des conduites telecoms, affleurants, cotations, points de mesure, habillage, … Voir GraceTHD-MOD."
DLV,DOSSIER DE LEVE OU D INVESTIGATIONS COMPLEMENTAIRES,"Documents et fichiers fournis dans le cadre d une prestation de releve topographique, avec ou sans detection (investigations complementaires et/ou releves autres). Voir GraceTHD-MOD."
SGC,DETAIL OU SCHEMA DE GENIE CIVIL,"Complement de detail au plan de genie civil. Le plan ou schema de detail est generalement necessaire dans le cas d un forage dirige, d un encorbellement, d une pose en ovoïde… Voir GraceTHD-MOD."
DPI,DOSSIER DE PIQUETAGE,"Dossier contenant l ensemble des documents relatifs aux operations de piquetage d une infrastructure : rapport, annotations terrain, photos, mesures… Voir GraceTHD-MOD."
