"id","code","libelle","definition"
"1","1","ROUGE (R)","#FF0000 - Standard Orange"
"2","2","BLEU (BL)","#0070C0 - Standard Orange"
"3","3","VERT (VE)","#92D050 - Standard Orange"
"4","4","JAUNE (J)","#FFFF00 - Standard Orange"
"5","5","VIOLET (V)","#7638A3 - Standard Orange"
"6","6","BLANC (B)","#FFFFFF - Standard Orange"
"7","7","ORANGE (OR)","#FFC000 - Standard Orange"
"8","8","GRIS (GR)","#C1C1C1 - Standard Orange"
"9","9","MARRON (BR)","#993300 - Standard Orange"
"10","10","NOIR (N)","#000000 - Standard Orange"
"11","11","TURQUOISE (TU)","#00B0F0 - Standard Orange"
"12","12","ROSE (RS)","#FF65CC - Standard Orange"
"13","1.1","BLEU (BL)","#0070C0 -  FOTAG IEEE 802.8"
"14","1.2","ORANGE (OR)","#FFC000 -  FOTAG IEEE 802.8"
"15","1.3","VERT (VE)","#92D050 -  FOTAG IEEE 802.8"
"16","1.4","MARRON (BR)","#993300 -  FOTAG IEEE 802.8"
"17","1.5","GRIS (GR)","#C1C1C1 -  FOTAG IEEE 802.8"
"18","1.6","BLANC (B)","#FFFFFF -  FOTAG IEEE 802.8"
"19","1.7","ROUGE (R)","#FF0000 -  FOTAG IEEE 802.8"
"20","1.8","NOIR (N)","#000000 -  FOTAG IEEE 802.8"
"21","1.9","VIOLET (V)","#7638A3 -  FOTAG IEEE 802.8"
"22","1.10","JAUNE (J)","#FFFF00 -  FOTAG IEEE 802.8"
"23","1.11","ROSE (RS)","#FF65CC -  FOTAG IEEE 802.8"
"24","1.12","TURQUOISE (TU)","#00B0F0 -  FOTAG IEEE 802.8"
