"id","code","libelle","definition"
"1","LTRO","LEVE DURANT LA POSE","Objet positionne grace à un leve durant la phase travaux. Dans le cas de tranchee, ce leve a ete realise tranchee ouverte."
"2","LVIS","LEVE APRES LA POSE","Objet positionne grace a un leve. Dans le cas d une tranchee, uniquement les elements visibles ont ete leves (rustines sur le revetement, chambres encadrantes). Des cotations prises pendant la pose ont permis de completer ce lever."
"3","DETC","LEVE AVEC DETECTION","Un appareil de detection a ete utilise pour positionner les elements à lever."
"4","FDPL","COTATION PAR RAPPORT A UN LEVE DE GEOMETRE","Objet implante en reportant des cotations prises par rapport à un fond de plan precedemment leve."
"5","CBDU","COTATION PAR RAPPORT A UN FOND DE PLAN TIERS TYPE BDU","Objet implante en reportant des cotations prises par rapport au meilleur fond de plan actuellement disponible."
"6","CADA","POSITIONNEMENT SUR CADASTRE","Objet positionne par rapport aux planches cadastrales."
"7","ORTO","POSITIONNEMENT SUR ORTHOPHOTOGRAPHIE OU FOND DE PLAN CARTOGRAPHIQUE","Objet positionne par rapport à des orthophotos, ou des fonds cartographiques type RGE, FRANCE RASTER, OSM ou Bing"
"8","INDT","INDETERMINE",""
"9","LTRO","LEVE DURANT LA POSE","Objet positionne grace à un leve durant la phase travaux. Dans le cas de tranchee, ce leve a ete realise tranchee ouverte."
"10","LVIS","LEVE APRES LA POSE","Objet positionne grace a un leve. Dans le cas d une tranchee, uniquement les elements visibles ont ete leves (rustines sur le revetement, chambres encadrantes). Des cotations prises pendant la pose ont permis de completer ce lever."
"11","DETC","LEVE AVEC DETECTION","Un appareil de detection a ete utilise pour positionner les elements à lever."
"12","FDPL","COTATION PAR RAPPORT A UN LEVE DE GEOMETRE","Objet implante en reportant des cotations prises par rapport à un fond de plan precedemment leve."
"13","CBDU","COTATION PAR RAPPORT A UN FOND DE PLAN TIERS TYPE BDU","Objet implante en reportant des cotations prises par rapport au meilleur fond de plan actuellement disponible."
"14","CADA","POSITIONNEMENT SUR CADASTRE","Objet positionne par rapport aux planches cadastrales."
"15","ORTO","POSITIONNEMENT SUR ORTHOPHOTOGRAPHIE OU FOND DE PLAN CARTOGRAPHIQUE","Objet positionne par rapport à des orthophotos, ou des fonds cartographiques type RGE, FRANCE RASTER, OSM ou Bing"
"16","INDT","INDETERMINE",""
