"id","code","libelle","definition"
"1","0","AERIEN TELECOM",""
"2","1","AERIEN ENERGIE",""
"3","2","FACADE",""
"4","3","IMMEUBLE",""
"5","4","PLEINE TERRE",""
"6","5","CANIVEAU",""
"7","6","GALERIE",""
"8","7","CONDUITE",""
"9","8","EGOUT",""
"10","9","SPECIFIQUE",""
"11","0","AERIEN TELECOM",""
"12","1","AERIEN ENERGIE",""
"13","2","FACADE",""
"14","3","IMMEUBLE",""
"15","4","PLEINE TERRE",""
"16","5","CANIVEAU",""
"17","6","GALERIE",""
"18","7","CONDUITE",""
"19","8","EGOUT",""
"20","9","SPECIFIQUE",""
