"id","code","libelle","definition"
"1","RES","RESIDENTIEL",""
"2","TEC","TECHNIQUE","Emplacement technique dédié à un équipement passif dans un bâtiment (ex : BPE, PBO, câble … etc.)"
"3","PRO","PROFESSIONNEL",""
"4","ENT","ENTREPRISE","Entreprise en fibre en point-à-point sur la Boucle Locale Optique Mutualisee."
"5","PUB","LOCAUX PUBLICS","Locaux publics (ex : annexe de mairie). "
"6","OPE","OPERATEUR","Local symbolisant un besoin de fibrage spécifique aux opérateurs (Ex : Antenne, point de livraison réseau)"
"7","OBJ","OBJET CONNECTE A LA FIBRE","Objet nécessitant une connexion à la fibre (ascenseur, caméra de surveillance, transformateur..etc.)"
"8","NRO","NŒUD RACCORDEMENT OPTIQUE",""
"9","SRO","SOUS-REPARTITEUR OPTIQUE",""
"10","FTTH","RESIDENTIEL OU PROFESSIONNEL","A partir de la phase MCO, ce type de local permet d'éviter de transmettre de l'information non-vérifiée (les types RES/PRO peuvent changer sans que l'opérateur n'en soit informé)."
"11","NRA","NŒUD RACCORDEMENT D ABONNES POUR HEBERGER UN/DES EQUIPEMENTS(S) PASSIF(S) ET/OU ACTIF(S)",""
"12","NRAMED","NŒUD RACCORDEMENT D ABONNES - MONTEE EN DEBIT",""
