"id","code","libelle","definition"
"1","A1","CHAMBRE A1",""
"2","A2","CHAMBRE A2",""
"3","A3","CHAMBRE A3",""
"4","A4","CHAMBRE A4",""
"5","A10","CHAMBRE A10",""
"6","A11","CHAMBRE A11",""
"7","A12","CHAMBRE A12",""
"8","A13","CHAMBRE A13",""
"9","A14","CHAMBRE A14",""
"10","A15","CHAMBRE A15",""
"11","A16","CHAMBRE A16",""
"12","A17","CHAMBRE A17",""
"13","A18","CHAMBRE A18",""
"14","B1","CHAMBRE B1",""
"15","B2","CHAMBRE B2",""
"16","B3","CHAMBRE B3",""
"17","B4","CHAMBRE B4",""
"18","C1","CHAMBRE C1",""
"19","C2","CHAMBRE C2",""
"20","C3","CHAMBRE C3",""
"21","C4","CHAMBRE C4",""
"22","D1","CHAMBRE D1",""
"23","D1C","CHAMBRE D1C",""
"24","D1T","CHAMBRE D1T",""
"25","D2","CHAMBRE D2",""
"26","D2C","CHAMBRE D2C",""
"27","D2T","CHAMBRE D2T",""
"28","D3","CHAMBRE D3",""
"29","D3C","CHAMBRE D3C",""
"30","D3T","CHAMBRE D3T",""
"31","D4","CHAMBRE D4",""
"32","D4C","CHAMBRE D4C",""
"33","D4T","CHAMBRE D4T",""
"34","D5","CHAMBRE D5",""
"35","D5C","CHAMBRE D5C",""
"36","D6","CHAMBRE D6",""
"37","D6C","CHAMBRE D6C",""
"38","D11","CHAMBRE D11",""
"39","D12","CHAMBRE D12",""
"40","D13","CHAMBRE D13",""
"41","D14","CHAMBRE D14",""
"42","E1","CHAMBRE E1",""
"43","E2","CHAMBRE E2",""
"44","E3","CHAMBRE E3",""
"45","E4","CHAMBRE E4",""
"46","J2C","CHAMBRE J2C",""
"47","J2CR","CHAMBRE J2C REHAUSSEE",""
"48","K1C","CHAMBRE K1C",""
"49","K1CR","CHAMBRE K1C REHAUSSEE",""
"50","K1T","CHAMBRE K1T",""
"51","K2C","CHAMBRE K2C",""
"52","K2CR","CHAMBRE K2C REHAUSSEE",""
"53","K2T","CHAMBRE K2T",""
"54","K3C","CHAMBRE K3C",""
"55","K3CR","CHAMBRE K3C REHAUSSEE",""
"56","K3T","CHAMBRE K3T",""
"57","L0T","CHAMBRE L0T",""
"58","L0TR","CHAMBRE L0T REHAUSSEE",""
"59","L1C","CHAMBRE L1C",""
"60","L1T","CHAMBRE L1T",""
"61","L1TR","CHAMBRE L1T REHAUSSEE",""
"62","L2C","CHAMBRE L2C",""
"63","L2T","CHAMBRE L2T",""
"64","L2TR","CHAMBRE L2T REHAUSSEE",""
"65","L3C","CHAMBRE L3C",""
"66","L3T","CHAMBRE L3T",""
"67","L3TR","CHAMBRE L3T REHAUSSEE",""
"68","L4C","CHAMBRE L4C",""
"69","L4T","CHAMBRE L4T",""
"70","L4TR","CHAMBRE L4T REHAUSSEE",""
"71","L5C","CHAMBRE L5C",""
"72","L5T","CHAMBRE L5T",""
"73","L5TR","CHAMBRE L5T REHAUSSEE",""
"74","L6T","CHAMBRE L6T",""
"75","L6TR","CHAMBRE L6T REHAUSSEE",""
"76","M1C","CHAMBRE M1C",""
"77","M1CR","CHAMBRE M1C REHAUSSEE",""
"78","M2T","CHAMBRE M2T",""
"79","M2TR","CHAMBRE M2T REHAUSSEE",""
"80","M3C","CHAMBRE M3C",""
"81","M3CR","CHAMBRE M3C REHAUSSEE",""
"82","P1C","CHAMBRE P1C",""
"83","P1CR","CHAMBRE P1C REHAUSSEE",""
"84","P1T","CHAMBRE P1T",""
"85","P1TR","CHAMBRE P1T REHAUSSEE",""
"86","P2C","CHAMBRE P2C",""
"87","P2CR","CHAMBRE P2C REHAUSSEE",""
"88","P2T","CHAMBRE P2T",""
"89","P2TR","CHAMBRE P2T REHAUSSEE",""
"90","P3C","CHAMBRE P3C",""
"91","P3T","CHAMBRE P3T",""
"92","P4C","CHAMBRE P4C",""
"93","P4T","CHAMBRE P4T",""
"94","P5C","CHAMBRE P5C",""
"95","P5T","CHAMBRE P5T",""
"96","P6C","CHAMBRE P6C",""
"97","P6T","CHAMBRE P6T",""
"98","R1T","CHAMBRE R1T",""
"99","R2T","CHAMBRE R2T",""
"100","R3T","CHAMBRE R3T",""
"101","S1","CHAMBRE S1","SNCF Reseau : Chambre prefabriquee aux dimensions standardisees."
"102","S2","CHAMBRE S2","SNCF Reseau : Chambre prefabriquee aux dimensions standardisees."
"103","S3","CHAMBRE S3","SNCF Reseau : Chambre prefabriquee aux dimensions standardisees."
"104","S4","CHAMBRE S4","SNCF Reseau : Chambre prefabriquee aux dimensions standardisees."
"105","S5","CHAMBRE S5","SNCF Reseau : Chambre prefabriquee aux dimensions standardisees."
"106","S6","CHAMBRE S6","SNCF Reseau : Chambre prefabriquee aux dimensions standardisees."
"107","S6bis","CHAMBRE S6bis","SNCF Reseau : Chambre prefabriquee aux dimensions standardisees."
"108","S7","CHAMBRE S7","SNCF Reseau : Chambre prefabriquee aux dimensions standardisees."
"109","TU1","CHAMBRE TU1","SNCF Reseau : chambre avec trappes unifiees."
"110","TU2","CHAMBRE TU2","SNCF Reseau : chambre avec trappes unifiees."
"111","TU4","CHAMBRE TU4","SNCF Reseau : chambre avec trappes unifiees."
"112","TU6","CHAMBRE TU6","SNCF Reseau : chambre avec trappes unifiees."
"113","TU8","CHAMBRE TU8","SNCF Reseau : chambre avec trappes unifiees."
"114","TU10","CHAMBRE TU10","SNCF Reseau : chambre avec trappes unifiees."
"115","OHN","OUVRAGE HORS NORMES",""
"116","PBOI","POTEAU BOIS",""
"117","PBET","POTEAU BETON",""
"118","PCMP","POTEAU COMPOSITE",""
"119","PMET","POTEAU METAL",""
"120","PIND","POTEAU INDETERMINE",""
"121","POTL","POTELET",""
"122","BOU","BOUCHON",""
"123","REG","REGARD 30X30",""
"124","R40","REGARD 40X40",""
"125","BAL","BALCON",""
"126","CRO","CROCHET",""
"127","FAI","FAITIERE",""
"128","STR","SOUTERRAIN",""
"129","SSO","SOUS-SOL",""
"130","TRA","TRAVERSE",""
"131","Y","SITE MANCHONNAGE Y","Fenetre ouverture sur fourreaux existants pour mise en Y."
"132","SITE","SITE","Lorsque le pointaccueil est un site technique"
"133","IND","INDETERMINE",""
