"id","code","libelle","definition"
"1","APP","APPUI",""
"2","CHB","CHAMBRE",""
"3","FCD","ANCRAGE FACADE",""
"4","IMM","IMMEUBLE",""
"5","ZZZ","AUTRE",""
"6","ADR","ARMOIRE DE RUE",""
"7","BAT","BATIMENT",""
"8","CHV","CHAMBRE
     VISITABLE","Chambre accueillant au moins une baie, donc traitee comme un site technique. Provient de gracethd_genie_civil.l_site_type_phy"
"9","COF","COFFRET","Notamment coffrets qui peuvent etre fixes sur des appuis et qui font office d armoires.Provient de gracethd_genie_civil.l_site_type_phy"
"10","SHE","SHELTER","Provient de gracethd_genie_civil.l_site_type_phy"
"11","STR","CONSTRUCTION SOUTERRAINE","Espace souterrain aménagé et visitable comportant un ou plusieurs locaux techniques et accueillant au moins une baie.Provient de gracethd_genie_civil.l_site_type_phy"
"12","LOG","LOGETTE ELECTRIQUE",""
