"id","code","libelle","definition"
"1","1.37","ROUGE (R) TROIS BAGUES NOIRES","#FF0000 - trois bagues noires - Standard Orange"
"2","1.38","BLEU (BL) TROIS BAGUES NOIRES","#0070C0 - trois bagues noires - Standard Orange"
"3","1.39","VERT (VE) TROIS BAGUES NOIRES","#92D050 - trois bagues noires - Standard Orange"
"4","1.40","JAUNE (J) TROIS BAGUES NOIRES","#FFFF00 - trois bagues noires - Standard Orange"
"5","1.41","VIOLET (V) TROIS BAGUES NOIRES","#7638A3 - trois bagues noires - Standard Orange"
"6","1.42","BLANC (B) TROIS BAGUES NOIRES","#FFFFFF - trois bagues noires - Standard Orange"
"7","1.43","ORANGE (OR) TROIS BAGUES NOIRES","#FFC000 - trois bagues noires - Standard Orange"
"8","1.44","GRIS (GR) TROIS BAGUES NOIRES","#C1C1C1 - trois bagues noires - Standard Orange"
"9","1.45","MARRON (BR) TROIS BAGUES NOIRES","#993300 - trois bagues noires - Standard Orange"
"10","1.46","NOIR (N) TROIS BAGUES NOIRES","#000000 - trois bagues noires - Standard Orange"
"11","1.47","TURQUOISE (TU) TROIS BAGUES NOIRES","#00B0F0 - trois bagues noires - Standard Orange"
"12","1.48","ROSE (RS) TROIS BAGUES NOIRES","#FF65CC - trois bagues noires - Standard Orange"
"13","1.49","ROUGE (R) QUATRE BAGUES NOIRES","#FF0000 - quatre bagues noires - Standard Orange"
"14","1.50","BLEU (BL) QUATRE BAGUES NOIRES","#0070C0 - quatre bagues noires - Standard Orange"
"15","1.51","VERT (VE) QUATRE BAGUES NOIRES","#92D050 - quatre bagues noires - Standard Orange"
"16","1.52","JAUNE (J) QUATRE BAGUES NOIRES","#FFFF00 - quatre bagues noires - Standard Orange"
"17","1.53","VIOLET (V) QUATRE BAGUES NOIRES","#7638A3 - quatre bagues noires - Standard Orange"
"18","1.54","BLANC (B) QUATRE BAGUES NOIRES","#FFFFFF - quatre bagues noires - Standard Orange"
"19","1.55","ORANGE (OR) QUATRE BAGUES NOIRES","#FFC000 - quatre bagues noires - Standard Orange"
"20","1.56","GRIS (GR) QUATRE BAGUES NOIRES","#C1C1C1 - quatre bagues noires - Standard Orange"
"21","1.57","MARRON (BR) QUATRE BAGUES NOIRES","#993300 - quatre bagues noires - Standard Orange"
"22","1.58","NOIR (N) QUATRE BAGUES NOIRES","#000000 - quatre bagues noires - Standard Orange"
"23","1.59","TURQUOISE (TU) QUATRE BAGUES NOIRES","#00B0F0 - quatre bagues noires - Standard Orange"
"24","1.60","ROSE (RS) QUATRE BAGUES NOIRES","#FF65CC - quatre bagues noires - Standard Orange"
"25","1.61","ROUGE (R) CINQ BAGUES NOIRES","#FF0000 - cinq bagues noires - Standard Orange"
"26","1.62","BLEU (BL) CINQ BAGUES NOIRES","#0070C0 - cinq bagues noires - Standard Orange"
"27","1.63","VERT (VE) CINQ BAGUES NOIRES","#92D050 - cinq bagues noires - Standard Orange"
"28","1.64","JAUNE (J) CINQ BAGUES NOIRES","#FFFF00 - cinq bagues noires - Standard Orange"
"29","1.65","VIOLET (V) CINQ BAGUES NOIRES","#7638A3 - cinq bagues noires - Standard Orange"
"30","1.66","BLANC (B) CINQ BAGUES NOIRES","#FFFFFF - cinq bagues noires - Standard Orange"
"31","1.67","ORANGE (OR) CINQ BAGUES NOIRES","#FFC000 - cinq bagues noires - Standard Orange"
"32","1.68","GRIS (GR) CINQ BAGUES NOIRES","#C1C1C1 - cinq bagues noires - Standard Orange"
"33","1.69","MARRON (BR) CINQ BAGUES NOIRES","#993300 - cinq bagues noires - Standard Orange"
"34","1.70","NOIR (N) CINQ BAGUES NOIRES","#000000 - cinq bagues noires - Standard Orange"
"35","1.71","TURQUOISE (TU) CINQ BAGUES NOIRES","#00B0F0 - cinq bagues noires - Standard Orange"
"36","1.72","ROSE (RS) CINQ BAGUES NOIRES","#FF65CC - cinq bagues noires - Standard Orange"
"37","1.73","ROUGE (R) SIX BAGUES NOIRES","#FF0000 - six bagues noires - Standard Orange"
"38","1.74","BLEU (BL) SIX BAGUES NOIRES","#0070C0 - six bagues noires - Standard Orange"
"39","1.75","VERT (VE) SIX BAGUES NOIRES","#92D050 - six bagues noires - Standard Orange"
"40","1.76","JASIX (J) SIX BAGUES NOIRES","#FFFF00 - six bagues noires - Standard Orange"
"41","1.77","VIOLET (V) SIX BAGUES NOIRES","#7638A3 - six bagues noires - Standard Orange"
"42","1.78","BLANC (B) SIX BAGUES NOIRES","#FFFFFF - six bagues noires - Standard Orange"
"43","1.79","ORANGE (OR) SIX BAGUES NOIRES","#FFC000 - six bagues noires - Standard Orange"
"44","1.80","GRIS (GR) SIX BAGUES NOIRES","#C1C1C1 - six bagues noires - Standard Orange"
"45","1.81","MARRON (BR) SIX BAGUES NOIRES","#993300 - six bagues noires - Standard Orange"
"46","1.82","NOIRÂ (N) SIX BAGUES NOIRES","#000000 - six bagues noires - Standard Orange"
"47","1.83","TURQUOISE (TU) SIX BAGUES NOIRES","#00B0F0 - six bagues noires - Standard Orange"
"48","1.84","ROSE (RS) SIX BAGUES NOIRES","#FF65CC - six bagues noires - Standard Orange"
"49","1.85","ROUGE (R) SEPT BAGUES NOIRES","#FF0000 - sept bagues noires - Standard Orange"
"50","1.86","BLEU (BL) SEPT BAGUES NOIRES","#0070C0 - sept bagues noires - Standard Orange"
"51","1.87","VERT (VE) SEPT BAGUES NOIRES","#92D050 - sept bagues noires - Standard Orange"
"52","1.88","JASEPT (J) SEPT BAGUES NOIRES","#FFFF00 - sept bagues noires - Standard Orange"
"53","1.89","VIOLET (V) SEPT BAGUES NOIRES","#7638A3 - sept bagues noires - Standard Orange"
"54","1.90","BLANC (B) SEPT BAGUES NOIRES","#FFFFFF - sept bagues noires - Standard Orange"
"55","1.91","ORANGE (OR) SEPT BAGUES NOIRES","#FFC000 - sept bagues noires - Standard Orange"
"56","1.92","GRIS (GR) SEPT BAGUES NOIRES","#C1C1C1 - sept bagues noires - Standard Orange"
"57","1.93","MARRON (BR) SEPT BAGUES NOIRES","#993300 - sept bagues noires - Standard Orange"
"58","1.94","NOIRÂ (N) SEPT BAGUES NOIRES","#000000 - sept bagues noires - Standard Orange"
"59","1.95","TURQUOISE (TU) SEPT BAGUES NOIRES","#00B0F0 - sept bagues noires - Standard Orange"
"60","1.96","ROSE (RS) SEPT BAGUES NOIRES","#FF65CC - sept bagues noires - Standard Orange"
